date,best_lag,beta,pval,r2,risk_score
2020-02-01,10,-37029.6510824036,4.966185914007572e-06,0.44159154439823245,0.0
2020-03-01,10,-34956.530175804015,0.000118244709229205,0.36685454101218273,0.0
2020-04-01,10,-28848.389788125834,0.00734488351539152,0.3560220311877962,0.0
2020-05-01,8,-28138.22622942052,0.001418331563560222,0.266088014984899,0.0
2020-06-01,7,25563.29033700992,0.014697656026152871,0.2056535925114611,25563.29033700992
2020-07-01,11,25357.15519265463,1.0090443574681639e-06,0.20392818681825697,25357.15519265463
2020-08-01,8,-21608.240683971755,0.0717545179557061,0.1704718185212788,0.0
2020-09-01,8,-21586.769670288886,0.062339962279869494,0.17196509143425076,0.0
2020-10-01,8,-26830.573647067296,0.00570159015249879,0.22528554488772046,0.0
2020-11-01,8,-27041.09983283186,0.004458866689532125,0.2133577556101871,0.0
2020-12-01,11,22380.87880257753,0.007199144825981128,0.08870772120058446,22380.87880257753
2021-01-01,8,-206752.92732587524,0.3040224737216032,0.085629233267976,0.0
2021-02-01,9,343285.3085147334,0.32100018393536867,0.10430172527158954,0.0
2021-03-01,9,396526.98720883223,0.3160514784822698,0.11956008122413453,0.0
2021-04-01,9,506446.60932883224,0.30014561223322234,0.14728151421379143,0.0
2021-05-01,9,441902.04180505534,0.2757960360324977,0.12310285418258893,0.0
2021-06-01,9,419007.2452783546,0.2579190203058155,0.11583626289743698,0.0
2021-07-01,9,702324.9729207244,0.07876044625546429,0.1945406287087359,0.0
2021-08-01,9,596755.5026449235,0.0901813377817327,0.16620772657151273,0.0
2021-09-01,9,688394.2064000814,0.058348223944515214,0.19590183263977134,0.0
2021-10-01,9,713416.1513058456,0.06899862663091513,0.20213992953182902,0.0
2021-11-01,9,760291.7588977513,0.07976230031669503,0.2150001675274138,0.0
2021-12-01,5,312058.5536537681,0.32779240946085675,0.09238078464520683,0.0
2022-01-01,5,316714.4204332267,0.3269919723914293,0.09398809787643392,0.0
2022-02-01,5,274739.1526259945,0.22843311950296874,0.0971524871251872,0.0
2022-03-01,11,-102811.98586038797,1.9714578587567e-05,0.5063167049009732,0.0
2022-04-01,11,-109000.25595285803,7.477699561576277e-08,0.5619921806531247,0.0
2022-05-01,11,-105154.79992726434,5.589389893120456e-06,0.5188054202115632,0.0
2022-06-01,11,-106771.64122361843,6.336789965420194e-07,0.5731414337888868,0.0
2022-07-01,11,-111191.9950319776,6.88686813027401e-08,0.500836686132007,0.0
2022-08-01,10,-65534.07008490167,0.0014362238990746783,0.3480047008971241,0.0
2022-09-01,10,-77567.04807220887,0.0003502982626585696,0.4151334512663105,0.0
2022-10-01,10,-77707.81423386862,0.0003722763253887515,0.41455161835378485,0.0
2022-11-01,10,-74760.20621664166,0.0004609164370107767,0.3880802626550661,0.0
2022-12-01,10,-61958.02352828081,0.0028712174298606793,0.2660327705294513,0.0
2023-01-01,10,-59584.3712772787,0.003303093715311163,0.2546496293562097,0.0
2023-02-01,5,61947.67314482767,1.609605162981278e-05,0.2680505415417286,61947.67314482767
